TEAMS,GROUP_STAGE_MATCHES,GROUP_STAGE_GOALS,QUALIFIED,GOALS_PER_MATCH
Mexico,3,6,YES,2.0
South Africa,3,2,YES,0.6666666666666666
South Korea,3,2,NO,0.6666666666666666
Czechia,3,2,NO,0.6666666666666666
Switzerland,3,7,YES,2.3333333333333335
Canada,3,8,YES,2.6666666666666665
Bosnia and Herzegovina,3,5,YES,1.6666666666666667
Qatar,3,2,NO,0.6666666666666666
Brazil,3,7,YES,2.3333333333333335
Morocco,3,6,YES,2.0
Scotland,3,1,NO,0.3333333333333333
Haiti,3,2,NO,0.6666666666666666
United States,3,8,YES,2.6666666666666665
Australia,3,2,YES,0.6666666666666666
Paraguay,3,2,YES,0.6666666666666666
Türkiye,3,3,NO,1.0
Germany,3,11,YES,3.6666666666666665
Ivory Coast,3,4,YES,1.3333333333333333
Ecuador,3,2,YES,0.6666666666666666
Curaçao,3,1,NO,0.3333333333333333
Netherlands,3,10,YES,3.3333333333333335
Japan,3,7,YES,2.3333333333333335
Sweden,3,7,YES,2.3333333333333335
Tunisia,3,2,NO,0.6666666666666666
Belgium,3,6,YES,2.0
Egypt,3,5,YES,1.6666666666666667
Iran,3,3,NO,1.0
New Zealand,3,4,NO,1.3333333333333333
Spain,3,5,YES,1.6666666666666667
Cabo Verde,3,4,YES,1.3333333333333333
Uruguay,3,3,NO,1.0
Saudi Arabia,3,1,NO,0.3333333333333333
France,3,10,YES,3.3333333333333335
Norway,3,8,YES,2.6666666666666665
Senegal,3,8,YES,2.6666666666666665
Iraq,3,1,NO,0.3333333333333333
Argentina,3,8,YES,2.6666666666666665
Austria,3,6,YES,2.0
Algeria,3,5,YES,1.6666666666666667
Jordan,3,3,NO,1.0
Colombia,3,6,YES,2.0
Portugal,3,6,YES,2.0
DR Congo,3,4,YES,1.3333333333333333
Uzbekistan,3,2,NO,0.6666666666666666
England,3,6,YES,2.0
Croatia,3,5,YES,1.6666666666666667
Ghana,3,2,YES,0.6666666666666666
Panama,3,0,NO,0.0
