TEAM,STAGE,GOALS,SHOTS,GOALS_PER_SHOT
Mexico,GROUP,6,35,0.17142857142857143
Mexico,KNOCKOUT,4,35,0.11428571428571428
South Africa,GROUP,2,33,0.06060606060606061
South Africa,KNOCKOUT,0,6,0.0
Switzerland,GROUP,7,45,0.15555555555555556
Switzerland,KNOCKOUT,3,29,0.10344827586206896
Canada,GROUP,8,58,0.13793103448275862
Canada,KNOCKOUT,1,22,0.045454545454545456
Bosnia-Herz,GROUP,5,27,0.18518518518518517
Bosnia-Herz,KNOCKOUT,0,10,0.0
Brazil,GROUP,7,41,0.17073170731707318
Brazil,KNOCKOUT,3,33,0.09090909090909091
Morocco,GROUP,6,48,0.125
Morocco,KNOCKOUT,4,21,0.19047619047619047
USA,GROUP,8,44,0.18181818181818182
USA,KNOCKOUT,3,15,0.2
Australia,GROUP,2,26,0.07692307692307693
Australia,KNOCKOUT,1,16,0.0625
Paraguay,GROUP,2,23,0.08695652173913043
Paraguay,KNOCKOUT,1,12,0.08333333333333333
Germany,GROUP,10,53,0.18867924528301888
Germany,KNOCKOUT,1,21,0.047619047619047616
Côte d'Ivoire,GROUP,4,31,0.12903225806451613
Côte d'Ivoire,KNOCKOUT,1,14,0.07142857142857142
Ecuador,GROUP,2,46,0.043478260869565216
Ecuador,KNOCKOUT,0,7,0.0
Netherlands,GROUP,10,40,0.25
Netherlands,KNOCKOUT,1,6,0.16666666666666666
Japan,GROUP,7,29,0.2413793103448276
Japan,KNOCKOUT,1,5,0.2
Sweden,GROUP,7,40,0.175
Sweden,KNOCKOUT,0,8,0.0
Belgium,GROUP,6,73,0.0821917808219178
Belgium,KNOCKOUT,8,39,0.20512820512820512
Egypt,GROUP,5,48,0.10416666666666667
Egypt,KNOCKOUT,3,19,0.15789473684210525
Spain,GROUP,5,55,0.09090909090909091
Spain,KNOCKOUT,9,85,0.10588235294117647
Cabo Verde,GROUP,2,33,0.06060606060606061
Cabo Verde,KNOCKOUT,2,16,0.125
France,GROUP,10,48,0.20833333333333334
France,KNOCKOUT,10,91,0.10989010989010989
Norway,GROUP,8,35,0.22857142857142856
Norway,KNOCKOUT,5,31,0.16129032258064516
Senegal,GROUP,8,50,0.16
Senegal,KNOCKOUT,2,19,0.10526315789473684
Argentina,GROUP,8,34,0.23529411764705882
Argentina,KNOCKOUT,11,80,0.1375
Austria,GROUP,6,27,0.2222222222222222
Austria,KNOCKOUT,0,5,0.0
Algeria,GROUP,5,25,0.2
Algeria,KNOCKOUT,2,11,0.18181818181818182
Colombia,GROUP,4,59,0.06779661016949153
Colombia,KNOCKOUT,1,35,0.02857142857142857
Portugal,GROUP,6,37,0.16216216216216217
Portugal,KNOCKOUT,2,25,0.08
Congo DR,GROUP,4,34,0.11764705882352941
Congo DR,KNOCKOUT,1,7,0.14285714285714285
England,GROUP,6,58,0.10344827586206896
England,KNOCKOUT,14,60,0.23333333333333334
Croatia,GROUP,5,24,0.20833333333333334
Croatia,KNOCKOUT,1,13,0.07692307692307693
Ghana,GROUP,2,16,0.125
Ghana,KNOCKOUT,0,8,0.0
