TEAM,QUALIFIED,MATCH_1_POSSESSION,MATCH_2_POSSESSION,MATCH_3_POSSESSION,AVG_POSSESSION
Mexico,YES,61,42,48,50.333333333333336
South Africa,YES,40,62,32,44.666666666666664
Korea Republic,NO,62,58,69,63.0
Czechia,NO,38,38,52,42.666666666666664
Switzerland,YES,68,62,55,61.666666666666664
Canada,YES,61,79,45,61.666666666666664
Bosnia-Herz,YES,39,38,55,44.0
Qatar,NO,32,21,46,33.0
Brazil,YES,51,57,54,54.0
Morocco,YES,49,59,69,59.0
Scotland,NO,46,41,46,44.333333333333336
Haiti,NO,54,43,31,42.666666666666664
USA,YES,65,62,53,60.0
Australia,YES,28,38,56,40.666666666666664
Paraguay,YES,35,22,44,33.666666666666664
Türkiye,NO,72,79,48,66.33333333333333
Germany,YES,65,59,61,61.666666666666664
Côte d'Ivoire,YES,48,41,63,50.666666666666664
Ecuador,YES,52,75,39,55.333333333333336
Curaçao,NO,35,25,37,32.333333333333336
Netherlands,YES,60,51,72,61.0
Japan,YES,40,62,52,51.333333333333336
Sweden,YES,49,49,48,48.666666666666664
Tunisia,NO,51,38,29,39.333333333333336
Belgium,YES,54,70,55,59.666666666666664
Egypt,YES,46,56,61,54.333333333333336
IR Iran,NO,48,30,39,39.0
New Zealand,NO,52,44,45,47.0
Spain,YES,74,67,67,69.33333333333333
Cabo Verde,YES,26,35,51,37.333333333333336
Uruguay,NO,67,65,33,55.0
Saudi Arabia,NO,33,33,49,38.333333333333336
France,YES,54,56,57,55.666666666666664
Norway,YES,61,42,43,48.666666666666664
Senegal,YES,46,58,69,57.666666666666664
Iraq,NO,39,45,31,38.333333333333336
Argentina,YES,48,54,73,58.333333333333336
Austria,YES,63,46,35,48.0
Algeria,YES,52,72,65,63.0
Jordan,NO,37,28,27,30.666666666666668
Colombia,YES,62,64,55,60.333333333333336
Portugal,YES,75,66,45,62.0
Congo DR,YES,25,37,58,40.0
Uzbekistan,NO,39,34,42,38.333333333333336
England,YES,52,79,67,66.0
Croatia,YES,48,58,53,53.0
Ghana,YES,38,21,47,35.333333333333336
Panama,NO,62,42,33,45.666666666666664
