PLAYER,TEAM,POSITION,ASSISTS,MINUTES,ASSISTS_PER_90
Roberto Alvarado,Mexico,FORWARD,3,428,0.6308
Julián Quiñones,Mexico,FORWARD,1,410,0.2195
Erik Lira,Mexico,MIDFIELDER,1,345,0.2609
Raúl Jiménez,Mexico,FORWARD,0,317,0.0
Luis Romo,Mexico,MIDFIELDER,1,264,0.3409
Edson Álvarez,Mexico,MIDFIELDER,0,240,0.0
Gilberto Mora,Mexico,MIDFIELDER,0,213,0.0
Brian Gutiérrez,Mexico,MIDFIELDER,0,198,0.0
Álvaro Fidalgo,Mexico,MIDFIELDER,0,96,0.0
Teboho Mokoena,South Africa,MIDFIELDER,0,270,0.0
Thalente Mbatha,South Africa,MIDFIELDER,0,260,0.0
Oswin Appollis,South Africa,MIDFIELDER,0,255,0.0
Thapelo Maseko,South Africa,MIDFIELDER,0,242,0.0
Sphephelo Sithole,South Africa,MIDFIELDER,0,229,0.0
Evidence Makgopa,South Africa,FORWARD,0,215,0.0
Relebohile Mofokeng,South Africa,MIDFIELDER,0,169,0.0
Iqraam Rayners,South Africa,FORWARD,0,161,0.0
Jayden Adams,South Africa,MIDFIELDER,0,116,0.0
Granit Xhaka,Switzerland,MIDFIELDER,0,600,0.0
Remo Freuler,Switzerland,MIDFIELDER,0,592,0.0
Breel Embolo,Switzerland,FORWARD,2,501,0.3593
Dan Ndoye,Switzerland,MIDFIELDER,0,406,0.0
Fabian Rieder,Switzerland,MIDFIELDER,0,302,0.0
Ruben Vargas,Switzerland,MIDFIELDER,1,284,0.3169
Djibril Sow,Switzerland,MIDFIELDER,0,253,0.0
Johan Manzambi,Switzerland,MIDFIELDER,2,199,0.9045
Michel Aebischer,Switzerland,MIDFIELDER,0,156,0.0
Jonathan David,Canada,FORWARD,0,420,0.0
Stephen Eustáquio,Canada,MIDFIELDER,0,392,0.0
Tajon Buchanan,Canada,MIDFIELDER,0,376,0.0
Tani Oluwaseyi,Canada,FORWARD,0,259,0.0
Ali Ahmed,Canada,MIDFIELDER,0,234,0.0
Cyle Larin,Canada,FORWARD,0,190,0.0
Nathan Saliba,Canada,MIDFIELDER,2,182,0.989
Liam Millar,Canada,MIDFIELDER,0,162,0.0
Ismaël Koné,Canada,MIDFIELDER,0,146,0.0
Niko Sigur,Canada,MIDFIELDER,0,126,0.0
